,created_at,hashtags,lang,location,locationBis,positivity,text
11,2018-06-27 12:29:13,"['MEXSWE', 'KORGER', 'SUICRC', 'SERBRA', 'WorldCup']",en,"Chicago, IL",USA,0,World Cup - Groups E &amp; F finish today! Let’s chat 👍 #MEXSWE #KORGER #SUICRC #SERBRA #WorldCup https://t.co/Fts1ZbZdYC
12,2018-06-27 12:30:13,"['SER', 'BRA']",en,United Kingdom,GBR,0,"#SER face the daunting task of having to beat #BRA to qualify

Match preview and betting tips ▶️▶️… https://t.co/JIbsRMVmy5"
13,2018-06-27 12:30:32,"['SERBRA', 'BRA', 'SER']",fr,Paris,USA,0,Cherche 2 places pour #SERBRA #BRA #SER
14,2018-06-27 12:31:04,['BRA'],en,جدة,,1,@CashaaLtd Best wishes to #BRA. Not easy but an important one for the group positions. Neymar must be wear of the i… https://t.co/ajfBGKB9BW
15,2018-06-27 12:31:08,['KORGER'],en,"Lagos, Nigeria",NGA,0,"RT @mike_aelara: Today's match predictions ⚽️

South Korea 🇰🇷 0 - 3 🇩🇪 Germany
#KORGER
Mexico 🇲🇽 1 - 1 🇸🇪 Sweden… https://t.co/98u29MbOKb"
16,2018-06-27 12:32:15,[],fr,"Alsace, France",FRA,1,RT @Le_Footoir: TOP 10 des plus belles photos de la femme de Neymar : Bruna Marquezine. Lire l'article sur Le Footoir : https://t.co/uxVhTC…
17,2018-06-27 12:33:29,"['SRB', 'BRA', 'SERBRA', 'SRBBRA']",fr,Paris,USA,0,Qui vend 2 places pour #SRB #BRA #SERBRA #SRBBRA
18,2018-06-27 12:33:43,['SERBRA'],en,Nis,,1,"RT @nkitevski: “Hookers do tricks, magicians make magic.” #SERBRA 🇷🇸 https://t.co/qLN43tIJsG"
19,2018-06-27 12:34:47,['SERBRA'],fr,,,0,"Aujourd'hui
À 20h(heure France)
Serbie vs Brésil
Neymar et coutinho pour assuré !!
#SERBRA 
Suisse vs Costa Rica… https://t.co/r07AIqXm4r"
20,2018-06-27 12:34:49,"['SERBRA', 'BRASER', 'SERBRE', 'BRESER', 'GERKOR', 'MEXSUE', 'MEXSWE']",fr,entre Pole Nord et l'Equateur,,1,"On aura droit à quelle version de @neymarjr 🇧🇷-🇷🇸 ?

#SERBRA #BRASER #SERBRE #BRESER #GERKOR #MEXSUE #MEXSWE https://t.co/jf7FA6ZMoX"
21,2018-06-27 12:35:02,['BlackbetWCgiveaway'],en,"Lagos, Nigeria",NGA,1,"RT @BlackbetNG: We still have loads of Free Bets to give out in our #BlackbetWCgiveaway.💰💰

⚽📣 Predict the final score of the Serbia v Braz…"
22,2018-06-27 12:36:07,"['SRB', 'BRA', 'SRBBRA', 'SERBRA', 'worldcup', 'Moscow', 'SpartakStadium', 'Russia2018']",fr,Paris,USA,0,Qui vend 2 places pour #SRB #BRA #SRBBRA #SERBRA #worldcup #Moscow #SpartakStadium #Russia2018
23,2018-06-27 12:36:21,"['SERBRA', 'BRA', 'WorldCup']",en,brasil,,0,"RT @itvfootball: @ITV @neymarjr And Brazil's running man is...

#SERBRA #BRA #WorldCup https://t.co/KwsVulMTFa"
24,2018-06-27 12:36:35,[],fr,Au Nord du Sud,,1,RT @Le_Footoir: TOP 10 des plus belles photos de la femme de Neymar : Bruna Marquezine. Lire l'article sur Le Footoir : https://t.co/uxVhTC…
25,2018-06-27 12:36:46,"['SERBRA', 'BRASER', 'SERBRE', 'BRESER', 'GERKOR', 'MEXSUE', 'MEXSWE']",fr,,,1,"RT @walidyactine: On aura droit à quelle version de @neymarjr 🇧🇷-🇷🇸 ?

#SERBRA #BRASER #SERBRE #BRESER #GERKOR #MEXSUE #MEXSWE https://t.co…"
26,2018-06-27 12:37:00,['WorldCup'],en,,,1,"Will the 2014 #WorldCup hosts win their group? Be thrilled by Serbia vs Brazil tonight: 
▶️ https://t.co/fk31aVQbw9… https://t.co/knq6YhLyTK"
27,2018-06-27 12:37:02,['SERBRA'],en,Cinderhill,,0,"RT @itvfootball: Will they get it?

Find out on @ITV tonight from 6.30pm as @neymarjr and co. look to make the last 16 

#SERBRA https://t.…"
28,2018-06-27 12:37:08,"['SRB', 'BRA', 'SRBBRA', 'SERBRA', 'worldcup', 'Moscow', 'SpartakStadium', 'Russia2018']",fr,,,0,RT @serpenta99: Qui vend 2 places pour #SRB #BRA #SRBBRA #SERBRA #worldcup #Moscow #SpartakStadium #Russia2018
29,2018-06-27 12:38:33,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
30,2018-06-27 12:39:07,[],en,"Jailend, IV15 9QZ",,0,"RT @desmond_twotwo: We go again. Today’s Predictions:

Mexico vs. Sweden - Desmond
South Korea vs. Germany - Desmond
Switzerland vs. Costa…"
31,2018-06-27 12:39:56,[],en,"Shipley, England",GBR,0,"RT @AllLeedsTV: 🏆 Wednesday 27th June

🇷🇸 Serbia vs 🇧🇷 Brazil
📺 Shown on ITV - 7PM 
⚽️ Group E
🗳 Vote what you think the final result will…"
32,2018-06-27 12:40:22,"['KORGER', 'SERBRA']",pt,"Porto Alegre, Brasil",BRA,0,"#KORGER às 11h e #SERBRA às 15h

HOJE TEM FUTEBOL e a Alemanha vai cair bonito. É mais torcida do que raciocínio, m… https://t.co/0ZF7QbqSwz"
33,2018-06-27 12:41:29,['BlackbetWCgiveaway'],en,.... left side of sanity,,1,"RT @BlackbetNG: We still have loads of Free Bets to give out in our #BlackbetWCgiveaway.💰💰

⚽📣 Predict the final score of the Serbia v Braz…"
34,2018-06-27 12:43:30,"['FIFA18', 'FUT18', 'Fifa19', 'Fortnite', 'WM2018', 'KORGER', 'Panini', 'KORGER', 'DieMannschaft', 'WorldCup', 'MEXSWE', 'SUICRC', 'SERBRA']",de,Deutschland,,0,#FIFA18 #FUT18 #Fifa19 #Fortnite #WM2018 #KORGER #Panini #KORGER #DieMannschaft #WorldCup #MEXSWE #SUICRC #SERBRA… https://t.co/3fa02NQeOt
35,2018-06-27 12:43:31,['MEXSWE'],fr,,,-1,"RT @WinnerFabricFR: 🏆 Avant dernier jour avant de phases de poules ! ⚽

Pour aujourd'hui 4 matchs, dont 2 lives comme hier 😎 
🇲🇽 #MEXSWE 🇸🇪…"
36,2018-06-27 12:45:01,"['FIFA18', 'FUT18', 'Fifa19', 'Fortnite', 'WM2018', 'KORGER', 'Panini', 'KORGER', 'DieMannschaft', 'WorldCup', 'MEXSWE', 'SUICRC', 'SERBRA']",de,,,0,"RT @xXBacillusXx: #FIFA18 #FUT18 #Fifa19 #Fortnite #WM2018 #KORGER #Panini #KORGER #DieMannschaft #WorldCup #MEXSWE #SUICRC #SERBRA

Deutsc…"
37,2018-06-27 12:45:22,[],en,Former Yugoslav Republic of Ma,,0,"Wednesday, June 27:
🇲🇽 Mexico           1 : 1 Sweden 🇸🇪
🇰🇷 South Korea  0 : 2 Germany 🇩🇪
🇷🇸 Serbia            0 : 2… https://t.co/QXZSFupa7W"
38,2018-06-27 12:46:27,[],en,Edinburgh,GBR,0,"RT @desmond_twotwo: We go again. Today’s Predictions:

Mexico vs. Sweden - Desmond
South Korea vs. Germany - Desmond
Switzerland vs. Costa…"
39,2018-06-27 12:46:38,['MEXSWE'],fr,,,-1,"RT @WinnerFabricFR: 🏆 Avant dernier jour avant de phases de poules ! ⚽

Pour aujourd'hui 4 matchs, dont 2 lives comme hier 😎 
🇲🇽 #MEXSWE 🇸🇪…"
40,2018-06-27 12:46:48,[],it,"Bergamo, Lombardia",ITA,0,"Partita molto interessante stasera tra Serbia 🇷🇸 e Brasile 🇧🇷 Quasi uno spareggio qualificazione, anche se i sudame… https://t.co/Z2755RUnf2"
41,2018-06-27 12:47:05,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
42,2018-06-27 12:47:58,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
43,2018-06-27 12:48:17,[],it,"Bergamo, Lombardia",ITA,0,Partita molto interessante stasera tra Serbia 🇷🇸 e Brasile 🇧🇷 Quasi uno spareggio qualificazione. Visto che sto svi… https://t.co/TiMwUB75n9
44,2018-06-27 12:48:39,[],fr,WeedLand,,0,Supprime tu fait pitié https://t.co/9pyeMZVEjq
45,2018-06-27 12:48:58,"['WorldCup', 'MEXSWE', 'MEX', 'SWE']",en,"Manchester, England",USA,1,"#WorldCup Live Stream HD [💻/📱] - Jun 27

[⏰14:00 GMT]
Mexico vs Sweden
#MEXSWE #MEX #SWE

South Korea vs Germany… https://t.co/bDIiOjElA0"
46,2018-06-27 12:49:30,"['SERBRA', 'BRA', 'WorldCup']",en,"London, England",GBR,0,"RT @itvfootball: @ITV @neymarjr And Brazil's running man is...

#SERBRA #BRA #WorldCup https://t.co/KwsVulMTFa"
47,2018-06-27 12:49:34,['SERBRA'],en,"London, England",GBR,0,"RT @itvfootball: Will they get it?

Find out on @ITV tonight from 6.30pm as @neymarjr and co. look to make the last 16 

#SERBRA https://t.…"
48,2018-06-27 12:49:38,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
49,2018-06-27 12:49:57,['SERBRA'],de,Berlin,DEU,0,"Wir wissen nicht, wie das Spiel #SERBRA ausgeht, aber für uns führt Brasilien schon jetzt mit 1.200 – nein, keine T… https://t.co/XgCsLaR6Mw"
50,2018-06-27 12:51:21,['WorldCup'],en,Nigeria,NGA,1,"Who's ready for some boosts?!📣⚽

✔️Here are our #WorldCup Price Boosts for the day.

Fancy a bet?🤔👇🏽… https://t.co/cMjUV9PVqN"
51,2018-06-27 12:52:58,"['SERBRA', 'FifaWorldCup2018']",pt,"Rio de Janeiro, Brasil",,0,"“Nois” ta tipo o @CanarinhoFuzil, só parece relaxado, mas tamo puto porq a hora não passa#VemHexa #SERBRA #FifaWorldCup2018"
52,2018-06-27 12:54:05,"['SRB', 'BRA', 'SRBBRA', 'SERBRA', 'worldcup', 'Moscow', 'SpartakStadium', 'Russia2018']",fr,montsinery-tonnegrande,,0,RT @serpenta99: Qui vend 2 places pour #SRB #BRA #SRBBRA #SERBRA #worldcup #Moscow #SpartakStadium #Russia2018
53,2018-06-27 12:54:08,['CDM2018'],fr,,,0,"Et on est reparti pour une journée de #CDM2018 , l'avant dernière des phases de poules... L'Allemagne assurera-t-el… https://t.co/PN1mAG1KFR"
54,2018-06-27 12:55:58,[],pt,"Rio de Janeiro, Brasil",,0,"“Nois” ta tipo o @CanarinhoFuzil, só parece relaxado, mas tamo puto porq a hora não passa e o jogo não começa… https://t.co/P52nALVC6j"
55,2018-06-27 12:57:30,"['SOUGER', 'MEXSWE']",en,Hoxton,,0,"RT @flatironsquare_: Today's games:

3pm South Korea vs Germany #SOUGER - outside screen
3pm Mexico vs Sweden #MEXSWE - inside screen
7pm S…"
56,2018-06-27 12:59:09,"['WorldCup', 'CEWorldCupWallchart']",en,"West Midlands, England",,0,The group stages of the #WorldCup are coming to a close this week. Your #CEWorldCupWallchart must be filling up nic… https://t.co/4auGgzYUg4
57,2018-06-27 13:00:01,"['CoreeDuSud', 'Allemagne', 'KORGER', 'Mexique', 'Suède', 'MEXSWE']",fr,,,0,"Aujourd'hui, pronostiquez sur 
&gt; #CoreeDuSud - #Allemagne - #KORGER , #Mexique - #Suède - #MEXSWE avant 16h  
&gt;… https://t.co/gcAPqEnMMX"
58,2018-06-27 13:02:09,"['SERBRA', 'Serbia', 'Brazil']",en,"Lagos, Nigeria",NGA,1,"Serbia vs Brazil: Team news, lineup, start time and many more
https://t.co/u31ESwrnAy #SERBRA #Serbia #Brazil… https://t.co/b3TXV30Odg"
59,2018-06-27 13:02:52,['SERBRA'],en,,,1,"IT IS THE DAY! #SERBRA 
Brazil must win this game, and there will be no problem about qualifying. ❤️ We believe in… https://t.co/qXInaZsMEh"
60,2018-06-27 13:04:00,['CM2018'],fr,Sur la plage avec une piña colada,,1,"🎁Football Expat vous fait gagner un CHÈQUE CADEAU de 100€ sur la boutique @zonemixteFr🎁

Qui gagnera la #CM2018

🔁R… https://t.co/QOQ9e4beMs"
61,2018-06-27 13:04:33,['SERBRA'],fr,,,1,"@DaniAlvesD2 a rendu visite à la Seleçao pour leur souhaiter bonne chance pour le match de ce soir ⚽🇧🇷
#SERBRA https://t.co/PhqjllOmIw"
62,2018-06-27 13:05:42,['SERBRA'],en,"Kerala, India",IND,1,"RT @njrstats: IT IS THE DAY! #SERBRA 
Brazil must win this game, and there will be no problem about qualifying. ❤️ We believe in you, Ney!…"
63,2018-06-27 13:06:09,[],pt,Yerushalayim,,0,"Se Coutinho fizer gol hoje ele se iguala a Ronaldo, Rivaldo, Romário e Jairzinho que foram os únicos a marcar em to… https://t.co/INkOfFaGzn"
64,2018-06-27 13:06:27,['WorldCup'],en,,,1,"RT @BlackbetNG: Who's ready for some boosts?!📣⚽

✔️Here are our #WorldCup Price Boosts for the day.

Fancy a bet?🤔👇🏽
https://t.co/XyvMy45M6…"
65,2018-06-27 13:08:13,"['FIFA18', 'FUT18', 'Fifa19', 'Fortnite', 'WM2018', 'KORGER', 'Panini', 'KORGER', 'DieMannschaft', 'WorldCup', 'MEXSWE', 'SUICRC', 'SERBRA']",de,Deutschland,,0,#FIFA18 #FUT18 #Fifa19 #Fortnite #WM2018 #KORGER #Panini #KORGER #DieMannschaft #WorldCup #MEXSWE #SUICRC #SERBRA… https://t.co/NWdeCJJBBu
66,2018-06-27 13:08:27,['SERBRA'],en,,,1,"RT @njrstats: IT IS THE DAY! #SERBRA 
Brazil must win this game, and there will be no problem about qualifying. ❤️ We believe in you, Ney!…"
67,2018-06-27 13:09:23,"['FIFA18', 'FUT18', 'Fifa19', 'Fortnite', 'WM2018', 'KORGER', 'Panini', 'KORGER']",de,Deutschland,,0,@EASPORTSFIFA @sterling7 @DeBruyneKev @ManCity #FIFA18 #FUT18 #Fifa19 #Fortnite #WM2018 #KORGER #Panini #KORGER… https://t.co/P9NDMOR6Wb
68,2018-06-27 13:10:01,"['FIFA18', 'FUT18', 'Fifa19', 'Fortnite', 'WM2018', 'KORGER', 'Panini', 'KORGER', 'DieMannschaft', 'WorldCup', 'MEXSWE', 'SUICRC', 'SERBRA']",de,,,0,"RT @xXBacillusXx: #FIFA18 #FUT18 #Fifa19 #Fortnite #WM2018 #KORGER #Panini #KORGER #DieMannschaft #WorldCup #MEXSWE #SUICRC #SERBRA

Deutsc…"
69,2018-06-27 13:10:07,['CM2018'],fr,France,FRA,1,"RT @footballexpat: 🎁Football Expat vous fait gagner un CHÈQUE CADEAU de 100€ sur la boutique @zonemixteFr🎁

Qui gagnera la #CM2018

🔁RT ave…"
70,2018-06-27 13:11:02,[],en,,,1,"RT @BSBZA: We've got 2 previews up for today's matches &amp; we're on a 4 game winning streak, let's try extend it!

Serbia v Brazil : https://…"
71,2018-06-27 13:13:25,"['Football', 'CM2018', 'SERBRA']",fr,,,0,"#Football ⚽️ - #CM2018 - #SERBRA 🇷🇸🇧🇷

A quelques heures de la rencontre décisive du Brésil face à la Serbie (20h),… https://t.co/mEF0oengVO"
72,2018-06-27 13:14:07,['MEXSWE'],fr,,,-1,"RT @WinnerFabricFR: 🏆 Avant dernier jour avant de phases de poules ! ⚽

Pour aujourd'hui 4 matchs, dont 2 lives comme hier 😎 
🇲🇽 #MEXSWE 🇸🇪…"
73,2018-06-27 13:14:52,['SERBRA'],en,Malaysia,MYS,1,"RT @njrstats: IT IS THE DAY! #SERBRA 
Brazil must win this game, and there will be no problem about qualifying. ❤️ We believe in you, Ney!…"
74,2018-06-27 13:16:14,"['KORGER', 'SERBRA', 'MEXSWE', 'SWICOS', 'WORLDCUP']",en,"Tanger Médina, Royaume du Maro",,0,"#KORGER
#SERBRA 
#MEXSWE 
#SWICOS 
#WORLDCUP
Today Matches :
 14:00 GMT
 South Korea vs Germany  Server 1
 Mexico v… https://t.co/FoCZt0DgWT"
75,2018-06-27 13:16:49,['LdC'],en,"Tanta, Egypt",EGY,1,"RT @UEFAcom_fr: Quel vainqueur de la #LdC 2017/18 avec le Real va briller mercredi en Russie ? 
1⃣ Toni Kroos 🇩🇪 
2⃣ Marcelo 🇧🇷
3⃣ Casemiro…"
76,2018-06-27 13:17:18,"['KORGER', 'SERBRA', 'MEXSWE', 'SWICOS', 'WORLDCUP']",en,"Tangier Medina, Morocco",MAR,0,"RT @KRYPTO_CHAHID: #KORGER
#SERBRA 
#MEXSWE 
#SWICOS 
#WORLDCUP
Today Matches :
 14:00 GMT
 South Korea vs Germany  Server 1
 Mexico vs Swe…"
77,2018-06-27 13:17:29,"['Football', 'CM2018', 'SERBRA']",fr,,,0,"RT @infosportplus: #Football ⚽️ - #CM2018 - #SERBRA 🇷🇸🇧🇷

A quelques heures de la rencontre décisive du Brésil face à la Serbie (20h), @rom…"
78,2018-06-27 13:17:39,[],fr,"Paris, Ile-de-France",FRA,0,@romain_favril tu insinues que mes cousins ne font pas assez de bruits c’est ça ?? 😜😂 https://t.co/LaLkKt9r8I
79,2018-06-27 13:17:44,[],fr,suisse,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
80,2018-06-27 13:17:55,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
81,2018-06-27 13:18:13,[],fr,Guinée,,-1,"Jeux décisifs !!!!
Allemagne 🇩🇪 Vs Corée du Sud et Serbie 🇷🇸 Vs Brésil 🇧🇷 avec un potentiel huitième de finale: All… https://t.co/G7FizJmcMH"
82,2018-06-27 13:18:22,[],fr,Guinée,,-1,"Jeux décisifs !!!!
Allemagne 🇩🇪 Vs Corée du Sud et Serbie 🇷🇸 Vs Brésil 🇧🇷 avec un potentiel huitième de finale: All… https://t.co/4ScaMB4NaM"
83,2018-06-27 13:18:40,"['WM2018', 'MEXSWE', 'SERBRA', 'SUICRC']",de,"Hamburg, Germany",DEU,0,Die heutigen Spiele der #WM2018. KORGER #MEXSWE #SERBRA #SUICRC https://t.co/Qr5ReS2Yil
84,2018-06-27 13:19:01,"['WM2018', 'MEXSWE', 'SERBRA', 'SUICRC']",de,Deutschland,,0,RT @SPIEGELONLINE: Die heutigen Spiele der #WM2018. KORGER #MEXSWE #SERBRA #SUICRC https://t.co/Qr5ReS2Yil
85,2018-06-27 13:19:06,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
86,2018-06-27 13:19:10,"['WorldCup18', 'GERKOR', 'SERBRA', 'Brazil']",en,"McPherson, KS",,1,Stupid hyped for today’s #WorldCup18 games. #GERKOR AND #SERBRA WILL BE INTENSE GAMES!! 😬🔥😬🔥🔥 #Brazil MUST WIN! If… https://t.co/phQAPeZFHv
87,2018-06-27 13:19:14,"['WM2018', 'MEXSWE', 'SERBRA', 'SUICRC']",de,UK/Germany,DEU,0,RT @SPIEGELONLINE: Die heutigen Spiele der #WM2018. KORGER #MEXSWE #SERBRA #SUICRC https://t.co/Qr5ReS2Yil
88,2018-06-27 13:19:24,"['WM2018', 'MEXSWE', 'SERBRA', 'SUICRC']",de,,,0,RT @SPIEGELONLINE: Die heutigen Spiele der #WM2018. KORGER #MEXSWE #SERBRA #SUICRC https://t.co/Qr5ReS2Yil
89,2018-06-27 13:19:57,[],fr,"Agdal Riyad, Royaume du Maroc",,-1,"RT @issow49: Jeux décisifs !!!!
Allemagne 🇩🇪 Vs Corée du Sud et Serbie 🇷🇸 Vs Brésil 🇧🇷 avec un potentiel huitième de finale: Allemagne 🇩🇪 V…"
90,2018-06-27 13:20:13,"['WM2018', 'KORGER', 'MEXSWE', 'SERBRA', 'SUICRC']",de,"Hamburg, Germany",DEU,0,Die heutigen Spiele der #WM2018  #KORGER #MEXSWE #SERBRA #SUICRC https://t.co/1UeQPsqgiH
91,2018-06-27 13:20:42,"['WM2018', 'KORGER', 'MEXSWE', 'SERBRA', 'SUICRC']",de,"Kreis Soest, NRW, Germany",DEU,0,RT @SPIEGELONLINE: Die heutigen Spiele der #WM2018  #KORGER #MEXSWE #SERBRA #SUICRC https://t.co/1UeQPsqgiH
92,2018-06-27 13:21:28,"['SERBRA', 'worldcup']",pt,parallel universe,,0,"Tudo de bom no Brasil, vamos ganhar essa merda! #SERBRA #worldcup"
93,2018-06-27 13:21:39,[],fr,Abitibitemiscamingue,,1,"RT @Rihan_Cypel: Je préviens chacun tout de suite : quoi qu’il arrive ce soir, en dessous de 5 étoiles sur le maillot, la maison n’accepte…"
94,2018-06-27 13:22:56,"['WM2018', 'KORGER', 'MEXSWE', 'SERBRA', 'SUICRC']",de,Ilfeld und ganz Europa,,0,RT @SPIEGELONLINE: Die heutigen Spiele der #WM2018  #KORGER #MEXSWE #SERBRA #SUICRC https://t.co/1UeQPsqgiH
95,2018-06-27 13:23:24,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
96,2018-06-27 13:26:14,[],fr,"Neuchâtel, Suisse",CHE,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
97,2018-06-27 13:26:25,"['WM2018', 'KORGER', 'MEXSWE', 'SERBRA', 'SUICRC']",de,"Erfurt, Thüringen, Germany",DEU,0,RT @SPIEGELONLINE: Die heutigen Spiele der #WM2018  #KORGER #MEXSWE #SERBRA #SUICRC https://t.co/1UeQPsqgiH
98,2018-06-27 13:27:00,"['MEXSWE', 'KORGER', 'SERBRA', 'SUICRC']",es,,,0,"🇲🇽 VS 🇸🇪
#MEXSWE 
🇰🇷 VS 🇩🇪
#KORGER 
🇷🇸 VS 🇧🇷
#SERBRA 
🇨🇭 VS 🇨🇷
#SUICRC"
99,2018-06-27 13:28:09,[],en,UK,,0,Probably won't happen but Brazil will be eliminated if they lose to Serbia and Switzerland avoid defeat against Cos… https://t.co/pAtMXpPM6o
100,2018-06-27 13:28:09,[],fr,"Metz, France",FRA,1,RT @Le_Footoir: TOP 10 des plus belles photos de la femme de Neymar : Bruna Marquezine. Lire l'article sur Le Footoir : https://t.co/uxVhTC…
101,2018-06-27 13:28:53,[],en,Nigeria,NGA,1,Lets lift our spirits by winning some cash https://t.co/71yYxIlS5x
102,2018-06-27 13:30:58,"['KORGER', 'WM2018', 'SERBRA', 'Joint', 'BesteLeben']",de,Deutschland,,0,"Ach GEIL!

Gleich schön grillen und #KORGER schauen. #WM2018

Heut Abend dann bei 
#SERBRA nen schönen amnesia haze #Joint. 

#BesteLeben"
103,2018-06-27 13:32:47,[],fr,,,1,"RT @Le_Footoir: 🎁 GAGNEZ LE MAILLOT DE VOTRE CHOIX.
Plus que quelques heures pour jouer. Vous êtes désormais plus de 800 participants.

1⃣…"
104,2018-06-27 13:36:02,"['WM2018', 'KORGER', 'MEXSWE', 'SERBRA', 'SUICRC']",de,Germany,DEU,0,RT @SPIEGELONLINE: Die heutigen Spiele der #WM2018  #KORGER #MEXSWE #SERBRA #SUICRC https://t.co/1UeQPsqgiH
105,2018-06-27 13:38:39,"['Copa2018', 'CopaDoMundo2018', 'MaisCopa', 'Bra', 'BrasilxServia', 'SERBRA']",pt,"Vitória, Brasil",BRA,0,"QUEM IRÁ BRILHAR PELA SELEÇÃO HOJE ??

Sérvia x Brasil 

#Copa2018 #CopaDoMundo2018 #MaisCopa #Bra #BrasilxServia #SERBRA"
106,2018-06-27 13:41:46,[],en,camp nou,,1,Good luck myteam 😊 https://t.co/TE6Y5boIYO
107,2018-06-27 13:43:12,"['WorldCup', 'SERBRA']",en,Tamworth,GBR,1,"I get this sneaky feeling the strength of Serbia is gonna be too much for Brazil, 2-0 to Serbia from corners/set pieces. #WorldCup #SERBRA"
108,2018-06-27 13:43:51,['CokeScoreChallenge'],en,"Durban, South Africa",ZAF,1,#CokeScoreChallenge @CocaCola_ZA  Serbra v.s brasil the score will be 2-1 sebra wins the match https://t.co/WRdtFOmJOC
109,2018-06-27 13:43:55,['MEXSWE'],en,Real Madrid ,,1,Mexico can stay cause hernandez! 😍 Sweden can go home #MEXSWE Germany can stay cause they are so so so brilliant!🤩🤩… https://t.co/ujkohjee3N
110,2018-06-27 13:46:25,[],en,Bet at,,1,"Group's E &amp; F wrap-up today! Welcome offer today is Germany:
⚽Serbia vs Brazil ⚽
⚽Switzerland vs Costa Rica ⚽
⚽Mexi… https://t.co/5OS1rIJfQG"
