Age,Country,Description,Link,Name,Position,Firstname,Lastname
32,Argentina,"Lucas Biglia has always thrived on international duty. A member of the side that finished third at the FIFA U-17 World Cup Finland 2003, he also helped Argentina triumph at the FIFA U-20 World Cup Netherlands 2005, along with Lionel Messi. Sergio Batista handed Biglia his first senior cap at the start of 2011 and he has rarely missed a call-up since 2013, appearing in all of Argentina’s seven matches at Brazil 2014.",https://api.fifa.com/api/v1/picture/players/2018fwc/200133_sq-300_jpg?allowDefaultPicture=true,LUCAS BIGLIA,Midfielder,Lucas,Biglia
30,Argentina,"Ever Banega is one of a clutch of central midfielders to stand out for their astuteness, strong tackling and technical excellence. He played a prominent role in the qualifiers, where he made 11 appearances in all and pulled on the captain’s armband once.",https://api.fifa.com/api/v1/picture/players/2018fwc/266790_sq-300_jpg?allowDefaultPicture=true,EVER BANEGA,Midfielder,Ever,Banega
30,Argentina,"A gifted, incisive left winger with the ability to get past people, Angel Di Maria has lost none of his ability to score goals and provide assists. Di Maria played in all 18 of Argentina's qualifiers for the Russia 2018.",https://api.fifa.com/api/v1/picture/players/2018fwc/266800_sq-300_jpg?allowDefaultPicture=true,ANGEL DI MARIA,Midfielder,Angel,Dimaria
25,Argentina,"Since arriving at Independiente in 2016 at the age of 23, Meza has distinguished himself as a holding midfielder, attacking midfielder and a winger – his natural position – playing a key part in the club’s 2017 Copa Sudamericana win.",https://api.fifa.com/api/v1/picture/players/2018fwc/411433_sq-300_jpg?allowDefaultPicture=true,MAXIMILIANO MEZA,Midfielder,Maximiliano,Meza
32,Argentina,"In the early years of his career Enzo Perez excelled as an explosive attacking midfielder with the ability to score and lay on assists.Yet on moving to Portugal he took up a holding role in midfield, which is where Jorge Sampaoli has chosen to deploy him.",https://api.fifa.com/api/v1/picture/players/2018fwc/316997_sq-300_jpg?allowDefaultPicture=true,ENZO PEREZ,Midfielder,Enzo,Perez
22,Argentina,"A talented attacking midfielder, Giovani Lo Celso possesses superb vision and the audacity required to excel in the position. He has also shown his ability to slot into a holding role in midfield and to play out on the left.",https://api.fifa.com/api/v1/picture/players/2018fwc/395414_sq-300_jpg?allowDefaultPicture=true,GIOVANI LO CELSO,Midfielder,Giovani,Locelso
22,Argentina,"“He could be a very important player for the national team,” said Lionel Messi on the day Cristian Pavon made his Argentina debut. A talented, pacy and incisive right winger, Pavon has the ability to play his team-mates in and cut in from the flank to shoot on goal himself.",https://api.fifa.com/api/v1/picture/players/2018fwc/371828_sq-300_jpg?allowDefaultPicture=true,CRISTIAN PAVON,Midfielder,Cristian,Pavon
30,Argentina,"After receiving criticism for missing a clear-cut chance in the 2014 World Cup Final against Germany, Argentina striker Gonzalo Higuain is now looking to have the last word in Russia.",https://api.fifa.com/api/v1/picture/players/2018fwc/271550_sq-300_jpg?allowDefaultPicture=true,GONZALO HIGUAIN,Forward,Gonzalo,Higuain
31,Argentina,"“This is Messi’s Argentina, not mine,” said Jorge Sampaoli, summing up just how important the Barcelona man is to the national side, a fact highlighted more clearly than ever during the qualifiers for the 2018 FIFA World Cup Russia™. In the ten matches in which Messi played, La Albiceleste collected 21 of their final tally of 28 points.",https://api.fifa.com/api/v1/picture/players/2018fwc/229397_sq-300_jpg?allowDefaultPicture=true,LIONEL MESSI,Forward,Lionel,Messi
30,Argentina,"Sergio Aguero has a record to set straight at the 2018 FIFA World Cup Russia™, when he will hope to score his first world finals goal in his third consecutive appearance in the competition.",https://api.fifa.com/api/v1/picture/players/2018fwc/228528_sq-300_jpg?allowDefaultPicture=true,SERGIO AGUERO,Forward,Sergio,Aguero
24,Argentina,"Known for his skill, jinking runs and deadly finishing, the Argentinian is one of the best forwards in the world, both inside and outside the box.",https://api.fifa.com/api/v1/picture/players/2018fwc/392905_sq-300_jpg?allowDefaultPicture=true,PAULO DYBALA,Forward,Paulo,Dybala
32,Australia,"Solidly built and a born competitor, Nahuel Guzman is an unorthodox keeper with excellent positional sense and good ball skills.",https://api.fifa.com/api/v1/picture/players/2018fwc/200999_sq-300_jpg?allowDefaultPicture=true,NAHUEL GUZMAN,Goalkeeper,Nahuel,Guzman
31,Australia,"Franco Armani owes his place at Russia 2018 to more than just the superb first four months he has enjoyed at River Plate. Though imposingly built, Armani has fine reflexes and is rarely caught out in the air, qualities that he combines with a gift for leadership.",https://api.fifa.com/api/v1/picture/players/2018fwc/398422_sq-300_jpg?allowDefaultPicture=true,FRANCO ARMANI,Goalkeeper,Franco,Armani
36,Australia,"Willy Caballero is an experienced, unfussy goalkeeper with excellent reflexes, fine ball skills and a commanding voice.",https://api.fifa.com/api/v1/picture/players/2018fwc/181440_sq-300_jpg?allowDefaultPicture=true,WILFREDO CABALLERO,Goalkeeper,Wilfredo,Caballero
31,Australia,,https://api.fifa.com/api/v1/picture/players/2018fwc/266796_sq-300_jpg?allowDefaultPicture=true,GABRIEL MERCADO,Defender,Gabriel,Mercado
25,Australia,"“A natural full-back,” remarked Jorge Sampaoli about tireless defender Nicolas Tagliafico, who is just as capable of bursting down the left flank to support an attack as he is of stopping the progress of an opposing winger.",https://api.fifa.com/api/v1/picture/players/2018fwc/308322_sq-300_jpg?allowDefaultPicture=true,NICOLAS TAGLIAFICO,Defender,Nicolas,Tagliafico
31,Australia,"Since winning his first senior cap under Diego Maradona in 2009, Cristian Ansaldi has made just four more appearances for _La_ _Albiceleste_, scoring one goal. A solid defender who knows when to get forward and can strike the ball with either foot, Ansaldi can also play in the centre of defence.",https://api.fifa.com/api/v1/picture/players/2018fwc/298593_sq-300_jpg?allowDefaultPicture=true,CRISTIAN ANSALDI,Defender,Cristian,Ansaldi
31,Australia,,https://api.fifa.com/api/v1/picture/players/2018fwc/266784_sq-300_jpg?allowDefaultPicture=true,FEDERICO FAZIO,Defender,Federico,Fazio
26,Australia,"Though the left-footed Marcos Acuna has spent most of his career in left midfield, he is just as effective a performer at full back or as a winger. Tireless when it comes to getting back to defend, he is committed and tactically astute and also has an eye for goal.",https://api.fifa.com/api/v1/picture/players/2018fwc/401204_sq-300_jpg?allowDefaultPicture=true,MARCOS ACUNA,Defender,Marcos,Acuna
34,Australia,"_El_ _Jefecito _(“The Little Chief”) has lost none of his ball-winning or passing abilities, and cemented his status as the team’s leader in the qualifiers. A key figure at Germany 2006, the captain at South Africa 2010 and decisive at Brazil 2014, Mascherano is looking for the title that would make him one of the greats of Argentinian football.",https://api.fifa.com/api/v1/picture/players/2018fwc/182372_sq-300_jpg?allowDefaultPicture=true,JAVIER MASCHERANO,Defender,Javier,Mascherano
28,Australia,"Now an experienced performer, Marcos Rojo is as familiar with the centre-half slot as he is with the left-back role. That versatility, combined with his athleticism, strength in the air and consistent performances at club level have kept Rojo in Jorge Sampaoli’s thoughts, despite the injury that saw him sidelined for seven months in 2017.",https://api.fifa.com/api/v1/picture/players/2018fwc/318688_sq-300_jpg?allowDefaultPicture=true,MARCOS ROJO,Defender,Marcos,Rojo
30,Australia,"A quick centre-back who rarely loses out in a one-on-one, Nicolas Otamendi also boasts excellent technique and is formidable in the air. These attributes, married with his strong character, have turned him into a key player at Pep Guardiola’s Manchester City as well as at international level.",https://api.fifa.com/api/v1/picture/players/2018fwc/310116_sq-300_jpg?allowDefaultPicture=true,NICOLAS OTAMENDI,Defender,Nicolas,Otamendi
27,Australia,"A winger or wide midfielder, Eduardo Salvio is quick, skilful and a precise passer who also has an eye for goal. Jorge Sampaoli believes he also has defensive qualities and sees him as a useful alternative at right-back.",https://api.fifa.com/api/v1/picture/players/2018fwc/268992_sq-300_jpg?allowDefaultPicture=true,EDUARDO SALVIO,Defender,Eduardo,Salvio
32,Australia,"Lucas Biglia has always thrived on international duty. A member of the side that finished third at the FIFA U-17 World Cup Finland 2003, he also helped Argentina triumph at the FIFA U-20 World Cup Netherlands 2005, along with Lionel Messi. Sergio Batista handed Biglia his first senior cap at the start of 2011 and he has rarely missed a call-up since 2013, appearing in all of Argentina’s seven matches at Brazil 2014.",https://api.fifa.com/api/v1/picture/players/2018fwc/200133_sq-300_jpg?allowDefaultPicture=true,LUCAS BIGLIA,Midfielder,Lucas,Biglia
29,Australia,"Ever Banega is one of a clutch of central midfielders to stand out for their astuteness, strong tackling and technical excellence. He played a prominent role in the qualifiers, where he made 11 appearances in all and pulled on the captain’s armband once.",https://api.fifa.com/api/v1/picture/players/2018fwc/266790_sq-300_jpg?allowDefaultPicture=true,EVER BANEGA,Midfielder,Ever,Banega
30,Australia,"A gifted, incisive left winger with the ability to get past people, Angel Di Maria has lost none of his ability to score goals and provide assists. Di Maria played in all 18 of Argentina's qualifiers for the Russia 2018.",https://api.fifa.com/api/v1/picture/players/2018fwc/266800_sq-300_jpg?allowDefaultPicture=true,ANGEL DI MARIA,Midfielder,Angel,Dimaria
25,Australia,"Since arriving at Independiente in 2016 at the age of 23, Meza has distinguished himself as a holding midfielder, attacking midfielder and a winger – his natural position – playing a key part in the club’s 2017 Copa Sudamericana win.",https://api.fifa.com/api/v1/picture/players/2018fwc/411433_sq-300_jpg?allowDefaultPicture=true,MAXIMILIANO MEZA,Midfielder,Maximiliano,Meza
32,Australia,"In the early years of his career Enzo Perez excelled as an explosive attacking midfielder with the ability to score and lay on assists.Yet on moving to Portugal he took up a holding role in midfield, which is where Jorge Sampaoli has chosen to deploy him.",https://api.fifa.com/api/v1/picture/players/2018fwc/316997_sq-300_jpg?allowDefaultPicture=true,ENZO PEREZ,Midfielder,Enzo,Perez
22,Australia,"A talented attacking midfielder, Giovani Lo Celso possesses superb vision and the audacity required to excel in the position. He has also shown his ability to slot into a holding role in midfield and to play out on the left.",https://api.fifa.com/api/v1/picture/players/2018fwc/395414_sq-300_jpg?allowDefaultPicture=true,GIOVANI LO CELSO,Midfielder,Giovani,Locelso
22,Australia,"“He could be a very important player for the national team,” said Lionel Messi on the day Cristian Pavon made his Argentina debut. A talented, pacy and incisive right winger, Pavon has the ability to play his team-mates in and cut in from the flank to shoot on goal himself.",https://api.fifa.com/api/v1/picture/players/2018fwc/371828_sq-300_jpg?allowDefaultPicture=true,CRISTIAN PAVON,Midfielder,Cristian,Pavon
30,Australia,,https://api.fifa.com/api/v1/picture/players/2018fwc/271550_sq-300_jpg?allowDefaultPicture=true,GONZALO HIGUAIN,Forward,Gonzalo,Higuain
30,Australia,"“This is Messi’s Argentina, not mine,” said Jorge Sampaoli, summing up just how important the Barcelona man is to the national side, a fact highlighted more clearly than ever during the qualifiers for the 2018 FIFA World Cup Russia™. In the ten matches in which Messi played, La Albiceleste collected 21 of their final tally of 28 points.",https://api.fifa.com/api/v1/picture/players/2018fwc/229397_sq-300_jpg?allowDefaultPicture=true,LIONEL MESSI,Forward,Lionel,Messi
30,Australia,"Sergio Aguero has a record to set straight at the 2018 FIFA World Cup Russia™, when he will hope to score his first world finals goal in his third consecutive appearance in the competition.",https://api.fifa.com/api/v1/picture/players/2018fwc/228528_sq-300_jpg?allowDefaultPicture=true,SERGIO AGUERO,Forward,Sergio,Aguero
24,Australia,"Known for his skill, jinking runs and deadly finishing, the Argentinian is one of the best forwards in the world, both inside and outside the box.",https://api.fifa.com/api/v1/picture/players/2018fwc/392905_sq-300_jpg?allowDefaultPicture=true,PAULO DYBALA,Forward,Paulo,Dybala
26,Belgium,"A hard worker and voracious trainer, Thibaut Courtois has never been one to rest on his laurels. A born competitor, the Diables Rouges custodian is always looking to develop on a technical and mental level.",https://api.fifa.com/api/v1/picture/players/2018fwc/358106_sq-300_jpg?allowDefaultPicture=true,THIBAUT COURTOIS,Goalkeeper,Thibaut,Courtois
30,Belgium,"Simon Mignolet has made more than 300 appearances in England, though the reflexes and mental strength he regularly showcases for Liverpool have not helped him earn more than 20 caps for his country.",https://api.fifa.com/api/v1/picture/players/2018fwc/298738_sq-300_jpg?allowDefaultPicture=true,SIMON MIGNOLET,Goalkeeper,Simon,Mignolet
25,Belgium,"A regular for Belgium at youth level, Koen Casteels received his first senior call-up in 2013 and has been third choice between the posts ever since, his route barred by Thibaut Courtois and Simon Mignolet.",https://api.fifa.com/api/v1/picture/players/2018fwc/373315_sq-300_jpg?allowDefaultPicture=true,KOEN CASTEELS,Goalkeeper,Koen,Casteels
29,Belgium,"As committed as anyone on the training ground, Toby Alderweireld has always been driven to succeed. His career has taken on a new dimension at Tottenham Hotspur, where he has become a defensive mainstay alongside fellow Belgian Jan Vertonghen.",https://api.fifa.com/api/v1/picture/players/2018fwc/290864_sq-300_jpg?allowDefaultPicture=true,TOBY ALDERWEIRELD,Defender,Toby,Alderweireld
32,Belgium,"Defender Thomas Vermaelen has shown both club and country that he remains a tough but clean tackler, while boasting a keen sense of positioning.",https://api.fifa.com/api/v1/picture/players/2018fwc/216880_sq-300_jpg?allowDefaultPicture=true,THOMAS VERMAELEN,Defender,Thomas,Vermaelen
32,Belgium,"A player who oozes class and inspires his team-mates with his words and work rate, defender Vincent Kompany is a born captain.",https://api.fifa.com/api/v1/picture/players/2018fwc/216004_sq-300_jpg?allowDefaultPicture=true,VINCENT KOMPANY,Defender,Vincent,Kompany
31,Belgium,"Rarely injured, often decisive and always committed, Jan Vertonghen has been a pillar for the Belgium team. He has seen it all too, from the wilderness years before 2010 to the Red Devils' rise as a force to be reckoned with.",https://api.fifa.com/api/v1/picture/players/2018fwc/290904_sq-300_jpg?allowDefaultPicture=true,JAN VERTONGHEN,Defender,Jan,Vertonghen
26,Belgium,"Though Thomas Meunier has been a surprise emergence to many, the fact is that he enjoys proving people wrong and facing up to the challenges that come his way. Solid in defence and incisive going forward, Meunier is very much a modern-day defender.",https://api.fifa.com/api/v1/picture/players/2018fwc/358122_sq-300_jpg?allowDefaultPicture=true,THOMAS MEUNIER,Defender,Thomas,Meunier
27,Belgium,"A close friend of Vincent Kompany, whom he regards as a role model, defender Derdryck Boyata is hoping the time has finally come for his stop-start international career to take off.",https://api.fifa.com/api/v1/picture/players/2018fwc/358118_sq-300_jpg?allowDefaultPicture=true,DEDRYCK BOYATA,Defender,Dedryck,Boyata
23,Belgium,"Leander Dendoncker took his first steps in the game as a midfielder, but he has brought his talent and determination to bear in central defence for the national team.",https://api.fifa.com/api/v1/picture/players/2018fwc/402015_sq-300_jpg?allowDefaultPicture=true,LEANDER DENDONCKER,Defender,Leander,Dendoncker
29,Belgium,"Coaches adore Axel Witsel. Ever open for a pass and usually in the right position, Witsel can be depended on to bring his natural talent and technical finesse to bear.",https://api.fifa.com/api/v1/picture/players/2018fwc/290821_sq-300_jpg?allowDefaultPicture=true,AXEL WITSEL,Midfielder,Axel,Witsel
26,Belgium,"Kevin De Bruyne is a specialist at changing tempo and a master of the first-time touch, his exceptional reading of the game combining with remarkable technique.",https://api.fifa.com/api/v1/picture/players/2018fwc/358120_sq-300_jpg?allowDefaultPicture=true,KEVIN DE BRUYNE,Midfielder,Kevin,Debruyne
30,Belgium,"With his gait, character, physique and style of play, Marouane Fellaini is not your average footballer. Fellaini is never slow to answer his country’s call or to use his attributes on the pitch.",https://api.fifa.com/api/v1/picture/players/2018fwc/290902_sq-300_jpg?allowDefaultPicture=true,MAROUANE FELLAINI,Midfielder,Marouane,Fellaini
24,Belgium,"Belgium are lucky enough to boast a clutch of players capable of changing a game with a burst of inspiration, and Yannick Carrasco figures prominently on that list.",https://api.fifa.com/api/v1/picture/players/2018fwc/398653_sq-300_jpg?allowDefaultPicture=true,YANNICK CARRASCO,Midfielder,Yannick,Carrasco
25,Belgium,"Having spent a long time trying to avoid comparisons with his older brother Eden, Thorgan Hazard has managed to make a name for himself.",https://api.fifa.com/api/v1/picture/players/2018fwc/378834_sq-300_jpg?allowDefaultPicture=true,THORGAN HAZARD,Midfielder,Thorgan,Hazard
21,Belgium,"A thoroughbred competitor and supremely confident, Youri Tielemans allies his natural gifts with an impressive mental strength, a winning combination for any top-level footballer.",https://api.fifa.com/api/v1/picture/players/2018fwc/401444_sq-300_jpg?allowDefaultPicture=true,YOURI TIELEMANS,Midfielder,Youri,Tielemans
30,Belgium,"Even Mousa Dembele's team-mates struggle to find the words to describe his expert ball skills during training. Little by little, the midfielder has succeeded in putting those talents to effective use for Tottenham Hotspur, improving year after year in the Premier League.",https://api.fifa.com/api/v1/picture/players/2018fwc/290825_sq-300_jpg?allowDefaultPicture=true,MOUSSA DEMBELE,Midfielder,Moussa,Dembele
28,Belgium,"Nacer Chadli made the cut for Russia 2018 despite missing almost the entire season with West Bromwich Albion due to injury. As one of the most versatile players available to coach Roberto Martinez, he was ultimately too important to leave out.",https://api.fifa.com/api/v1/picture/players/2018fwc/358108_sq-300_jpg?allowDefaultPicture=true,NACER CHADLI,Midfielder,Nacer,Chadli
25,Belgium,"Now the all-time leading goalscorer in the history of Les Diables Rouges, Romelu Lukaku has won the football world over with his impressive statistics and drive and determination.",https://api.fifa.com/api/v1/picture/players/2018fwc/358112_sq-300_jpg?allowDefaultPicture=true,ROMELU LUKAKU,Forward,Romelu,Lukaku
27,Belgium,"Comfortable on the ball, an elusive dribbler and blessed with dazzling skills, Eden Hazard is seemingly immune to pressure, playing the game with remarkable calm and coolness.",https://api.fifa.com/api/v1/picture/players/2018fwc/273996_sq-300_jpg?allowDefaultPicture=true,EDEN HAZARD,Forward,Eden,Hazard
31,Belgium,"Once a gifted fringe option for Belgium, Dries Mertens has now become almost undroppable after asserting himself in Napoli's forward line. He has taken Serie A by storm, racking up goals and assists galore in a free role tailored to his talents.",https://api.fifa.com/api/v1/picture/players/2018fwc/358114_sq-300_jpg?allowDefaultPicture=true,DRIES MERTENS,Forward,Dries,Mertens
23,Belgium,"Capable of playing anywhere in the front line, left-footed Adnan Januzaj owes his last-minute inclusion in Belgium’s World Cup plans to his exceptional versatility.",https://api.fifa.com/api/v1/picture/players/2018fwc/379910_sq-300_jpg?allowDefaultPicture=true,ADNAN JANUZAJ,Forward,Adnan,Januzaj
24,Belgium,"Batshuayi is developing fast. With his athleticism and shooting skills, this rising star plays the game as if it comes naturally and easily to him.",https://api.fifa.com/api/v1/picture/players/2018fwc/378835_sq-300_jpg?allowDefaultPicture=true,MICHY BATSHUAYI,Forward,Michy,Batshuayi
25,Brazil,It was not until Dunga decided to replace Jefferson after the first of the Russia 2018 qualifiers that goalkeeper Alisson Ramses Becker made his Brazil debut.,https://api.fifa.com/api/v1/picture/players/2018fwc/308370_sq-300_jpg?allowDefaultPicture=true,ALISSON,Goalkeeper,Alisson,
31,Brazil,"Like several other members of Brazil's 2018 FIFA World Cup Russia™ squad, Cassio's ties with coach Tite date back to their trophy-laden time together at Corinthians.",https://api.fifa.com/api/v1/picture/players/2018fwc/266773_sq-300_jpg?allowDefaultPicture=true,CASSIO,Goalkeeper,Cassio,
24,Brazil,"When Ederson Santana de Moraes found out that he was being released by Sao Paulo at U-17 level, he could scarcely have imagined that he would be headed to Russia to play in a FIFA World Cup™ almost a decade later.",https://api.fifa.com/api/v1/picture/players/2018fwc/395427_sq-300_jpg?allowDefaultPicture=true,EDERSON,Goalkeeper,Ederson,
33,Brazil,"Though Thiago Silva enjoys worldwide renown, the fact is that since making his Brazil debut in 2008 the accomplished centre-back has played more friendlies for his country than competitive matches.",https://api.fifa.com/api/v1/picture/players/2018fwc/289964_sq-300_jpg?allowDefaultPicture=true,THIAGO SILVA,Defender,Thiago,Silva
33,Brazil,"Brazil have strength in depth in the centre of defence, where Joao Miranda is one of their mainstays. A multiple trophy winner with both Sao Paulo and Atletico Madrid, the experienced centre-back has gradually become a permanent fixture in the Seleçao set-up.",https://api.fifa.com/api/v1/picture/players/2018fwc/289958_sq-300_jpg?allowDefaultPicture=true,MIRANDA,Defender,Miranda,
32,Brazil,"Pedro Geromel earned a place in Tite’s plans after helping Gremio win the Copa Libertadores in 2017. The fact is, though, that the Brazil coach was monitoring the tall centre-back’s progress well before then",https://api.fifa.com/api/v1/picture/players/2018fwc/398286_sq-300_jpg?allowDefaultPicture=true,PEDRO GEROMEL,Defender,Pedro,Geromel
32,Brazil,"Despite his proven skills and expertise, Filipe Luis had to wait until the very last minute to find out if he had made the Brazil squad for the 2018 FIFA World Cup Russia™. After the disappointment of missing out on a place at South Africa 2010 and again at Brazil 2014, the left-back will finally be appearing at his first world finals.",https://api.fifa.com/api/v1/picture/players/2018fwc/217161_sq-300_jpg?allowDefaultPicture=true,FILIPE LUIS,Defender,Filipe,Luis
30,Brazil,"Tite took charge in June 2016, with the new coach loath to disregard the buccaneering left-back, who has remained a linchpin of a Real Madrid side that have continued to rack up trophies",https://api.fifa.com/api/v1/picture/players/2018fwc/218284_sq-300_jpg?allowDefaultPicture=true,MARCELO,Defender,Marcelo,
24,Brazil,"It is no surprise that Marcos Aoas Correa, better known as Marquinhos, is about to appear at his first FIFA World Cup™. The central defender has, after all, represented Brazil at every age group from U-17 level upwards.",https://api.fifa.com/api/v1/picture/players/2018fwc/332946_sq-300_jpg?allowDefaultPicture=true,MARQUINHOS,Defender,Marquinhos,
26,Brazil,"Danilo Luiz da Silva's exertions over recent seasons in Europe proved enough to take him to Russia 2018, but it was no foregone conclusion.",https://api.fifa.com/api/v1/picture/players/2018fwc/335656_sq-300_jpg?allowDefaultPicture=true,DANILO,Defender,Danilo,
29,Brazil,"There tends to be fierce competition for Brazil's right-back spot and this year is no exception. Several contenders were in the running to serve as Dani Alves's understudy, but Tite has a soft spot for Fagner Conserva Lemos.",https://api.fifa.com/api/v1/picture/players/2018fwc/266774_sq-300_jpg?allowDefaultPicture=true,FAGNER,Defender,Fagner,
26,Brazil,"""I never imagined that he was capable of such dominant performances."" Tite's words, uttered shortly after he began working with Casemiro, speak volumes of the Real Madrid man's rise in stature.",https://api.fifa.com/api/v1/picture/players/2018fwc/308386_sq-300_jpg?allowDefaultPicture=true,CASEMIRO,Midfielder,Casemiro,
30,Brazil,"Renato Augusto is comfortable anywhere across the middle third, having acquitted himself with distinction as a deep-lying anchorman and on the right. Nevertheless, it is in a playmaking role in the hole that the Rio 2016 gold medallist feels most in his element.",https://api.fifa.com/api/v1/picture/players/2018fwc/218292_sq-300_jpg?allowDefaultPicture=true,RENATO AUGUSTO,Midfielder,Renato,Augusto
26,Brazil,"""A player can be competitive, strong and refined at the same time. He epitomises that."" That is high praise indeed, but actions speak louder than words and it is Tite's use of Philippe Coutinho that best demonstrates just how highly he rates the Barcelona schemer.",https://api.fifa.com/api/v1/picture/players/2018fwc/308366_sq-300_jpg?allowDefaultPicture=true,PHILIPPE COUTINHO,Midfielder,Philippe,Coutinho
29,Brazil,"Paulinho was one of the fall guys following Brazil's 2014 FIFA World Cup™ let-down: having played in six of his country's seven games at the tournament, he suddenly found himself in the wilderness.",https://api.fifa.com/api/v1/picture/players/2018fwc/362727_sq-300_jpg?allowDefaultPicture=true,PAULINHO,Midfielder,Paulinho,
33,Brazil,"Fernando Luiz Roza, better known as Fernandinho, would have been forgiven for crumbling after his country's now-infamous 7-1 defeat by Germany at the 2014 FIFA World Cup Brazil™. After starting the game in a holding role, he was not only comprehensively overrun in the first half; to add insult to injury, he was hauled off at the break for tactical reasons.",https://api.fifa.com/api/v1/picture/players/2018fwc/208016_sq-300_jpg?allowDefaultPicture=true,FERNANDINHO,Midfielder,Fernandinho,
25,Brazil,Tite is a coach with a penchant for box-to-box midfielders and Frederico Rodrigues de Paula Santos fits this description to a T.,https://api.fifa.com/api/v1/picture/players/2018fwc/394018_sq-300_jpg?allowDefaultPicture=true,FRED,Midfielder,Fred,
29,Brazil,Willian Borges da Silva is one of the Brazilian players to have found redemption following the country's 2014 FIFA World Cup™ debacle.,https://api.fifa.com/api/v1/picture/players/2018fwc/218306_sq-300_jpg?allowDefaultPicture=true,WILLIAN,Midfielder,Willian,
